layer,col,row,rho_rf,rho_lf,rho_clad
10,6,2,18.562,18.5012,7.1813
10,6,4,18.562,18.5012,7.1813
10,7,1,17.8016,17.8777,7.1503
10,7,3,17.5735,17.6952,7.2707
10,8,2,19.0,17.68,7.1993
10,8,4,19.0,17.68,7.1993
11,1,2,18.2883,18.2122,7.2399
11,1,4,18.2883,18.2122,7.2399
11,2,1,17.2238,17.2542,7.4227
11,2,3,19.1064,19.3497,7.0724
11,3,2,18.3339,18.4555,7.2434
11,3,4,18.3339,18.4555,7.2434
11,4,1,19.1977,19.1977,7.431
11,4,3,19.0912,19.2737,7.162
11,5,2,18.3947,18.4099,7.171
11,5,4,18.3947,18.4099,7.171
11,6,1,19.2889,18.9422,7.2707
11,6,3,19.003,18.9574,7.2537
11,7,2,18.2883,18.5012,7.4503
11,7,4,18.2883,18.5012,7.4503
11,8,1,19.152,19.2129,7.231
11,8,3,19.2433,19.1216,7.162
12,1,1,19.076,19.3802,7.2707
12,1,3,19.8668,18.8205,7.02
12,2,2,18.2579,18.3339,7.1503
12,2,4,18.2579,18.3339,7.1503
12,3,1,16.9804,17.9689,7.2707
12,3,3,19.2129,19.3649,7.1827
12,4,2,18.2426,18.3035,7.2986
12,4,4,18.2426,18.3035,7.2986
12,5,1,19.1977,19.2433,7.2137
12,5,3,19.2889,19.1825,7.2707
12,6,2,17.6648,18.1514,7.2707
12,6,4,17.6648,18.1514,7.2707
12,7,1,18.2274,20.2013,7.2165
12,7,3,19.1672,19.5931,7.1413
12,8,2,18.3187,17.5279,7.2707
12,8,4,18.3187,17.5279,7.2707
