"epoch","val.loss","val.mae","loss","mae"
1,2.26631736755371,0.107934154570103,30.6772441864014,0.343858391046524
2,3.22294354438782,0.132311880588531,4.352942943573,0.140286356210709
3,1.86588943004608,0.103818237781525,4.18300294876099,0.138437584042549
4,0.739610910415649,0.0645350962877274,1.98215484619141,0.0994207412004471
5,0.498648375272751,0.0566491857171059,0.777617573738098,0.0635694414377213
6,0.68555212020874,0.0640068799257278,0.674786865711212,0.0609879344701767
7,0.67827844619751,0.0628752112388611,0.880139291286469,0.0662091672420502
8,0.491992771625519,0.0556433126330376,0.817366719245911,0.0628417879343033
9,0.362060368061066,0.0478659719228745,0.57276451587677,0.054593276232481
10,0.333381921052933,0.044858667999506,0.447732776403427,0.0488746240735054
