"epoch","val.loss","val.mae","loss","mae"
1,0.673285007476807,0.0485112816095352,5.3293399810791,0.119726426899433
2,0.463397294282913,0.0363700278103352,0.603611171245575,0.0415343046188354
3,0.362246751785278,0.0294271148741245,0.449549585580826,0.0324909836053848
4,0.282558143138885,0.0234773680567741,0.366181045770645,0.0275570284575224
5,0.24106277525425,0.0212433896958828,0.301099509000778,0.023618483915925
6,0.202810943126678,0.0193568095564842,0.256333142518997,0.0219129230827093
7,0.189261674880981,0.0194825120270252,0.219311535358429,0.019860191270709
8,0.139853700995445,0.0142911141738296,0.18437747657299,0.0175216887146235
9,0.156254842877388,0.0180850848555565,0.160584107041359,0.0163389146327972
10,0.112774804234505,0.0127288633957505,0.147488325834274,0.0159697104245424
11,0.105983473360538,0.0140340235084295,0.130130290985107,0.014627393335104
12,0.113950654864311,0.0176458302885294,0.118130892515182,0.0140722645446658
13,0.0849102735519409,0.0127981901168823,0.110357098281384,0.0136478831991553
14,0.0889765694737434,0.0138751640915871,0.100923299789429,0.0130656911060214
15,0.0748377740383148,0.0118750687688589,0.0989524647593498,0.0135837569832802
16,0.066489614546299,0.0114075941964984,0.0817021429538727,0.0115904910489917
17,0.0803754404187202,0.0139681547880173,0.0743525922298431,0.0104944882914424
18,0.126765981316566,0.0224968902766705,0.0782888531684875,0.0123083274811506
19,0.0694462805986404,0.0141587248072028,0.0766261070966721,0.0125799784436822
20,0.0743916779756546,0.0155469747260213,0.0733874887228012,0.0125730382278562
21,0.0620487593114376,0.010760503821075,0.0696829035878181,0.0125046437606215
22,0.0564708150923252,0.0123515697196126,0.0608599372208118,0.0107016414403915
23,0.0573521256446838,0.0130592379719019,0.0585957355797291,0.0110703911632299
24,0.0621904917061329,0.013823906891048,0.0613816231489182,0.0119961192831397
25,0.066693089902401,0.0161888469010592,0.0642563626170158,0.0131377791985869
26,0.0518350154161453,0.00980084482580423,0.0574036426842213,0.0117812333628535
27,0.0748747289180756,0.0176239423453808,0.0542928017675877,0.0116573479026556
28,0.051475714892149,0.012734922580421,0.0499602369964123,0.0110086360946298
29,0.0758112221956253,0.0153697850182652,0.0654698610305786,0.0141118280589581
30,0.0474494732916355,0.0120996478945017,0.0473551414906979,0.011013519950211
31,0.0610366091132164,0.0104591343551874,0.0606615543365479,0.0138657037168741
32,0.0361327677965164,0.00992268696427345,0.0576557628810406,0.0131044192239642
33,0.0443983376026154,0.0119020100682974,0.0577350296080112,0.0134388161823153
34,0.0356984026730061,0.0106605645269156,0.0528180412948132,0.013020527549088
35,0.0413628742098808,0.0106822177767754,0.0387476049363613,0.0098321121186018
36,0.0409381724894047,0.0109091885387897,0.0434582903981209,0.0114607848227024
37,0.0326644107699394,0.0102516850456595,0.0348732843995094,0.00930654350668192
38,0.036522950977087,0.0114657040685415,0.0492903254926205,0.0128647293895483
39,0.0426031015813351,0.0111991791054606,0.0594849325716496,0.0144416829571128
40,0.0359969809651375,0.00951810833066702,0.0424086637794971,0.0112334154546261
41,0.0399548560380936,0.0123419743031263,0.0377046503126621,0.0104050021618605
42,0.035231277346611,0.0114140165969729,0.0452010221779346,0.0119613204151392
43,0.0427192188799381,0.0131644308567047,0.0410346761345863,0.0116734439507127
44,0.0588856153190136,0.0160429291427135,0.0326130725443363,0.0100057274103165
45,0.0414378121495247,0.0118344658985734,0.0327013842761517,0.00960445124655962
46,0.0430119372904301,0.0138567993417382,0.0540388897061348,0.013927367515862
47,0.0312946401536465,0.010109793394804,0.0268997773528099,0.0087185725569725
48,0.0173446387052536,0.00610528979450464,0.032291766256094,0.00949227157980204
49,0.023614339530468,0.00835012085735798,0.031402200460434,0.00968462042510509
50,0.0297169759869576,0.00762452743947506,0.0392615348100662,0.0113208536058664
