"mass","form","mod","rad","ref","thk","shape","ht","vol","conc","hd","keff","sd"
0,"alpha","h2o",27.94,"h2o",2.54,"sph",55.88,91362.46629,0,1,0,0
0,"alpha","h2o",27.94,"h2o",5.08,"sph",55.88,91362.46629,0,1,0,0
0,"alpha","h2o",27.94,"h2o",7.62,"sph",55.88,91362.46629,0,1,0,0
0,"alpha","h2o",27.94,"h2o",10.16,"sph",55.88,91362.46629,0,1,0,0
0,"alpha","h2o",27.94,"h2o",12.7,"sph",55.88,91362.46629,0,1,0,0
0,"alpha","h2o",27.94,"h2o",15.24,"sph",55.88,91362.46629,0,1,0,0
0,"alpha","h2o",30.48,"h2o",2.54,"sph",60.96,118613.3296,0,1,0,0
0,"alpha","h2o",30.48,"h2o",5.08,"sph",60.96,118613.3296,0,1,0,0
0,"alpha","h2o",30.48,"h2o",7.62,"sph",60.96,118613.3296,0,1,0,0
0,"alpha","h2o",30.48,"h2o",10.16,"sph",60.96,118613.3296,0,1,0,0
0,"alpha","h2o",30.48,"h2o",12.7,"sph",60.96,118613.3296,0,1,0,0
0,"alpha","h2o",30.48,"h2o",15.24,"sph",60.96,118613.3296,0,1,0,0
0,"alpha","h2o",33.02,"h2o",2.54,"sph",66.04,150806.4151,0,1,0,0
0,"alpha","h2o",33.02,"h2o",5.08,"sph",66.04,150806.4151,0,1,0,0
0,"alpha","h2o",33.02,"h2o",7.62,"sph",66.04,150806.4151,0,1,0,0
0,"alpha","h2o",33.02,"h2o",10.16,"sph",66.04,150806.4151,0,1,0,0
0,"alpha","h2o",33.02,"h2o",12.7,"sph",66.04,150806.4151,0,1,0,0
0,"alpha","h2o",33.02,"h2o",15.24,"sph",66.04,150806.4151,0,1,0,0
0,"alpha","h2o",35.56,"h2o",2.54,"sph",71.12,188353.5744,0,1,0,0
0,"alpha","h2o",35.56,"h2o",5.08,"sph",71.12,188353.5744,0,1,0,0
0,"alpha","h2o",35.56,"h2o",7.62,"sph",71.12,188353.5744,0,1,0,0
0,"alpha","h2o",35.56,"h2o",10.16,"sph",71.12,188353.5744,0,1,0,0
0,"alpha","h2o",35.56,"h2o",12.7,"sph",71.12,188353.5744,0,1,0,0
0,"alpha","h2o",35.56,"h2o",15.24,"sph",71.12,188353.5744,0,1,0,0
0,"alpha","h2o",38.1,"h2o",2.54,"sph",76.2,231666.6594,0,1,0,0
0,"alpha","h2o",38.1,"h2o",5.08,"sph",76.2,231666.6594,0,1,0,0
0,"alpha","h2o",38.1,"h2o",7.62,"sph",76.2,231666.6594,0,1,0,0
0,"alpha","h2o",38.1,"h2o",10.16,"sph",76.2,231666.6594,0,1,0,0
0,"alpha","h2o",38.1,"h2o",12.7,"sph",76.2,231666.6594,0,1,0,0
0,"alpha","h2o",38.1,"h2o",15.24,"sph",76.2,231666.6594,0,1,0,0
0,"alpha","h2o",40.64,"h2o",2.54,"sph",81.28,281157.5221,0,1,0,0
0,"alpha","h2o",40.64,"h2o",5.08,"sph",81.28,281157.5221,0,1,0,0
0,"alpha","h2o",40.64,"h2o",7.62,"sph",81.28,281157.5221,0,1,0,0
0,"alpha","h2o",40.64,"h2o",10.16,"sph",81.28,281157.5221,0,1,0,0
0,"alpha","h2o",40.64,"h2o",12.7,"sph",81.28,281157.5221,0,1,0,0
0,"alpha","h2o",40.64,"h2o",15.24,"sph",81.28,281157.5221,0,1,0,0
0,"alpha","h2o",43.18,"h2o",2.54,"sph",86.36,337238.0142,0,1,0,0
0,"alpha","h2o",43.18,"h2o",5.08,"sph",86.36,337238.0142,0,1,0,0
0,"alpha","h2o",43.18,"h2o",7.62,"sph",86.36,337238.0142,0,1,0,0
0,"alpha","h2o",43.18,"h2o",10.16,"sph",86.36,337238.0142,0,1,0,0
0,"alpha","h2o",43.18,"h2o",12.7,"sph",86.36,337238.0142,0,1,0,0
0,"alpha","h2o",43.18,"h2o",15.24,"sph",86.36,337238.0142,0,1,0,0
0,"alpha","h2o",45.72,"h2o",2.54,"sph",91.44,400319.9875,0,1,0,0
0,"alpha","h2o",45.72,"h2o",5.08,"sph",91.44,400319.9875,0,1,0,0
0,"alpha","h2o",45.72,"h2o",7.62,"sph",91.44,400319.9875,0,1,0,0
0,"alpha","h2o",45.72,"h2o",10.16,"sph",91.44,400319.9875,0,1,0,0
0,"alpha","h2o",45.72,"h2o",12.7,"sph",91.44,400319.9875,0,1,0,0
0,"alpha","h2o",45.72,"h2o",15.24,"sph",91.44,400319.9875,0,1,0,0
25,"alpha","h2o",2.54,"h2o",2.54,"sph",5.08,68.64197,0.3642086,1,0.14512,2e-04
25,"alpha","h2o",2.54,"h2o",5.08,"sph",5.08,68.64197,0.3642086,1,0.16848,0.00022
25,"alpha","h2o",2.54,"h2o",7.62,"sph",5.08,68.64197,0.3642086,1,0.17583,0.00023
25,"alpha","h2o",2.54,"h2o",10.16,"sph",5.08,68.64197,0.3642086,1,0.17736,0.00023
25,"alpha","h2o",2.54,"h2o",12.7,"sph",5.08,68.64197,0.3642086,1,0.17806,0.00023
25,"alpha","h2o",2.54,"h2o",15.24,"sph",5.08,68.64197,0.3642086,1,0.17859,0.00023
25,"alpha","h2o",5.08,"h2o",2.54,"sph",10.16,549.1358,0.04552608,1,0.29061,0.00028
25,"alpha","h2o",5.08,"h2o",5.08,"sph",10.16,549.1358,0.04552608,1,0.3151,0.00028
25,"alpha","h2o",5.08,"h2o",7.62,"sph",10.16,549.1358,0.04552608,1,0.32199,0.00028
25,"alpha","h2o",5.08,"h2o",10.16,"sph",10.16,549.1358,0.04552608,1,0.32353,0.00027
25,"alpha","h2o",5.08,"h2o",12.7,"sph",10.16,549.1358,0.04552608,1,0.32446,0.00027
25,"alpha","h2o",5.08,"h2o",15.24,"sph",10.16,549.1358,0.04552608,1,0.32426,0.00028
25,"alpha","h2o",7.62,"h2o",2.54,"sph",15.24,1853.333,0.01348921,1,0.33312,0.00025
25,"alpha","h2o",7.62,"h2o",5.08,"sph",15.24,1853.333,0.01348921,1,0.34864,0.00024
25,"alpha","h2o",7.62,"h2o",7.62,"sph",15.24,1853.333,0.01348921,1,0.35332,0.00023
25,"alpha","h2o",7.62,"h2o",10.16,"sph",15.24,1853.333,0.01348921,1,0.35484,0.00024
25,"alpha","h2o",7.62,"h2o",12.7,"sph",15.24,1853.333,0.01348921,1,0.35494,0.00025
25,"alpha","h2o",7.62,"h2o",15.24,"sph",15.24,1853.333,0.01348921,1,0.35504,0.00025
25,"alpha","h2o",10.16,"h2o",2.54,"sph",20.32,4393.086,0.00569076,1,0.29484,0.00017
25,"alpha","h2o",10.16,"h2o",5.08,"sph",20.32,4393.086,0.00569076,1,0.30359,0.00018
25,"alpha","h2o",10.16,"h2o",7.62,"sph",20.32,4393.086,0.00569076,1,0.30623,0.00016
25,"alpha","h2o",10.16,"h2o",10.16,"sph",20.32,4393.086,0.00569076,1,0.30693,0.00016
25,"alpha","h2o",10.16,"h2o",12.7,"sph",20.32,4393.086,0.00569076,1,0.30704,0.00017
25,"alpha","h2o",10.16,"h2o",15.24,"sph",20.32,4393.086,0.00569076,1,0.30735,0.00017
25,"alpha","h2o",12.7,"h2o",2.54,"sph",25.4,8580.247,0.002913669,1,0.23466,0.00012
25,"alpha","h2o",12.7,"h2o",5.08,"sph",25.4,8580.247,0.002913669,1,0.23934,0.00012
25,"alpha","h2o",12.7,"h2o",7.62,"sph",25.4,8580.247,0.002913669,1,0.24073,0.00012
25,"alpha","h2o",12.7,"h2o",10.16,"sph",25.4,8580.247,0.002913669,1,0.24093,0.00012
25,"alpha","h2o",12.7,"h2o",12.7,"sph",25.4,8580.247,0.002913669,1,0.24096,0.00012
25,"alpha","h2o",12.7,"h2o",15.24,"sph",25.4,8580.247,0.002913669,1,0.24114,0.00011
25,"alpha","h2o",15.24,"h2o",2.54,"sph",30.48,14826.67,0.001686151,1,0.17941,8e-05
25,"alpha","h2o",15.24,"h2o",5.08,"sph",30.48,14826.67,0.001686151,1,0.18214,8e-05
25,"alpha","h2o",15.24,"h2o",7.62,"sph",30.48,14826.67,0.001686151,1,0.18267,8e-05
25,"alpha","h2o",15.24,"h2o",10.16,"sph",30.48,14826.67,0.001686151,1,0.18294,8e-05
25,"alpha","h2o",15.24,"h2o",12.7,"sph",30.48,14826.67,0.001686151,1,0.18301,8e-05
25,"alpha","h2o",15.24,"h2o",15.24,"sph",30.48,14826.67,0.001686151,1,0.183,8e-05
25,"alpha","h2o",17.78,"h2o",2.54,"sph",35.56,23544.2,0.001061833,1,0.13627,6e-05
25,"alpha","h2o",17.78,"h2o",5.08,"sph",35.56,23544.2,0.001061833,1,0.13781,5e-05
25,"alpha","h2o",17.78,"h2o",7.62,"sph",35.56,23544.2,0.001061833,1,0.13809,5e-05
25,"alpha","h2o",17.78,"h2o",10.16,"sph",35.56,23544.2,0.001061833,1,0.1384,6e-05
25,"alpha","h2o",17.78,"h2o",12.7,"sph",35.56,23544.2,0.001061833,1,0.13835,5e-05
25,"alpha","h2o",17.78,"h2o",15.24,"sph",35.56,23544.2,0.001061833,1,0.13837,6e-05
25,"alpha","h2o",20.32,"h2o",2.54,"sph",40.64,35144.69,0.000711345,1,0.10423,4e-05
25,"alpha","h2o",20.32,"h2o",5.08,"sph",40.64,35144.69,0.000711345,1,0.10499,4e-05
25,"alpha","h2o",20.32,"h2o",7.62,"sph",40.64,35144.69,0.000711345,1,0.10527,4e-05
25,"alpha","h2o",20.32,"h2o",10.16,"sph",40.64,35144.69,0.000711345,1,0.10533,4e-05
25,"alpha","h2o",20.32,"h2o",12.7,"sph",40.64,35144.69,0.000711345,1,0.10534,4e-05
25,"alpha","h2o",20.32,"h2o",15.24,"sph",40.64,35144.69,0.000711345,1,0.10538,4e-05
25,"alpha","h2o",22.86,"h2o",2.54,"sph",45.72,50040,0.0004996,1,0.08057,3e-05
25,"alpha","h2o",22.86,"h2o",5.08,"sph",45.72,50040,0.0004996,1,0.08112,3e-05
25,"alpha","h2o",22.86,"h2o",7.62,"sph",45.72,50040,0.0004996,1,0.08126,3e-05
25,"alpha","h2o",22.86,"h2o",10.16,"sph",45.72,50040,0.0004996,1,0.0813,3e-05
25,"alpha","h2o",22.86,"h2o",12.7,"sph",45.72,50040,0.0004996,1,0.08131,3e-05
25,"alpha","h2o",22.86,"h2o",15.24,"sph",45.72,50040,0.0004996,1,0.08126,3e-05
25,"alpha","h2o",25.4,"h2o",2.54,"sph",50.8,68641.97,0.000364209,1,0.0631,2e-05
25,"alpha","h2o",25.4,"h2o",5.08,"sph",50.8,68641.97,0.000364209,1,0.0635,2e-05
25,"alpha","h2o",25.4,"h2o",7.62,"sph",50.8,68641.97,0.000364209,1,0.06356,2e-05
25,"alpha","h2o",25.4,"h2o",10.16,"sph",50.8,68641.97,0.000364209,1,0.06359,2e-05
25,"alpha","h2o",25.4,"h2o",12.7,"sph",50.8,68641.97,0.000364209,1,0.06362,2e-05
25,"alpha","h2o",25.4,"h2o",15.24,"sph",50.8,68641.97,0.000364209,1,0.06362,2e-05
25,"alpha","h2o",27.94,"h2o",2.54,"sph",55.88,91362.47,0.000273635,1,0.05023,2e-05
25,"alpha","h2o",27.94,"h2o",5.08,"sph",55.88,91362.47,0.000273635,1,0.05042,2e-05
25,"alpha","h2o",27.94,"h2o",7.62,"sph",55.88,91362.47,0.000273635,1,0.05046,2e-05
